species	phenology lower	phenology upper	mean phenology	year	latitude	longitude	mean centre latitude	grid_50km	grid_5km	tray
oak	124	124	124	2001	50.80872357	-3.573935665	-1.820757204	2 5	20 57	NA
oak	152	152	152	2001	51.31640562	-2.218049082	-1.313075153	3 7	31 76	NA
oak	123	123	123	2001	51.64115796	-0.158842678	-0.988322813	3 10	39 105	NA
oak	131	131	131	2001	54.54615715	-1.7309936	1.916676379	10 8	103 83	NA
oak	125	125	125	2001	52.63521977	-2.279226584	0.005738996	6 7	60 76	NA
oak	95	95	95	2001	52.16051579	1.580004162	-0.468964987	5 12	51 128	NA
oak	117	117	117	2001	53.06188936	-2.763958118	0.432408585	7 6	70 69	NA
oak	133	133	133	2001	53.6478555	-1.576382699	1.018374722	8 8	83 85	NA
oak	134	134	134	2001	50.78729723	-2.585832274	-1.842183549	1 7	19 71	NA
oak	130	130	130	2001	52.01320302	-3.458808084	-0.616277754	4 5	47 59	NA
oak	129	129	129	2001	52.61199834	-1.922910463	-0.017482437	6 8	60 81	NA
oak	130	130	130	2001	51.53809537	-1.082932283	-1.091385405	3 9	36 92	NA
oak	137	137	137	2001	54.00596778	-1.450696388	1.376487007	9 8	91 87	NA
oak	133	133	133	2001	53.0970974	-1.259231655	0.467616628	7 8	71 89	NA
oak	133	133	133	2001	53.3401844	-1.507345582	0.710703627	7 8	76 86	NA
oak	134	134	134	2001	50.92699812	-4.521397277	-1.702482659	2 4	23 44	NA
oak	118	118	118	2001	50.91753382	-3.280271511	-1.711946959	2 6	22 62	NA
oak	117	117	117	2001	50.74817246	-3.489715978	-1.881308318	1 5	19 58	NA
oak	120	120	120	2001	53.64364661	-1.527672364	1.014165835	8 8	83 86	NA
oak	127	127	127	2001	52.91677968	0.495745438	0.287298905	6 11	67 113	NA
oak	132	132	132	2001	51.99499104	-1.434850083	-0.634489732	4 8	46 87	NA
oak	111	111	111	2001	50.97194708	-1.304926965	-1.657533697	2 8	23 89	NA
oak	120	120	120	2001	51.86212266	0.156512336	-0.767358115	4 10	44 109	NA
oak	121	121	121	2001	51.474246	-3.272761511	-1.155234771	3 6	35 62	NA
oak	125	125	125	2001	52.21313132	-4.202763406	-0.416349458	5 4	51 49	NA
oak	108	108	108	2001	52.22581618	-2.765626126	-0.403664595	5 6	51 69	NA
oak	132	132	132	2001	51.16517071	-2.762730802	-1.464310067	2 6	28 69	NA
oak	104	104	104	2001	50.94164878	-0.189017889	-1.687831995	2 10	23 105	NA
oak	133	133	133	2001	50.36603887	-4.148413907	-2.263441902	1 4	10 49	NA
oak	128	128	128	2001	51.96181196	-3.919675167	-0.667668819	4 5	46 53	NA
oak	135	135	135	2001	53.79430418	-2.639063808	1.164823407	8 7	86 71	NA
oak	149	149	149	2001	50.97297975	-3.512908856	-1.656501027	2 5	24 58	NA
oak	122	122	122	2001	52.48541189	-2.041188777	-0.144068884	5 7	57 79	NA
oak	119	119	119	2001	51.54302993	0.663272953	-1.086450841	3 11	37 116	NA
oak	118	118	118	2001	51.37423281	-0.415265295	-1.255247968	3 10	33 102	NA
oak	129	129	129	2001	53.67196252	-1.356493403	1.04248174	8 8	83 88	NA
oak	130	130	130	2001	54.31043173	-2.754628103	1.680950959	9 7	98 70	NA
oak	131	131	131	2001	53.77368367	-1.370279386	1.144202891	8 8	86 88	NA
oak	115	115	115	2001	51.2231107	0.338572208	-1.406370078	2 11	29 112	NA
oak	124	124	124	2001	52.27421755	1.570532007	-0.355263225	5 12	54 128	NA
oak	131	131	131	2001	51.45543231	-3.495330455	-1.174048463	3 5	34 59	NA
oak	131	131	131	2001	50.72481044	-1.838442507	-1.904670331	1 8	18 82	NA
oak	123	123	123	2001	51.63197403	-3.23816096	-0.997506748	3 6	38 62	NA
oak	133	133	133	2001	53.19667616	-1.140908937	0.567195383	7 9	73 91	NA
oak	122	122	122	2001	50.69131446	-3.242954971	-1.938166318	1 6	17 62	NA
oak	105	105	105	2001	51.36404538	-0.948532627	-1.265435391	3 9	32 94	NA
oak	132	132	132	2001	52.36034073	-2.16588819	-0.269140045	5 7	54 77	NA
oak	129	129	129	2001	52.61592747	-0.283655502	-0.013553305	6 10	60 103	NA
oak	126	126	126	2001	52.06429741	1.181257156	-0.565183369	4 12	49 123	NA
oak	135	135	135	2001	50.9354371	-3.112829545	-1.694043674	2 6	23 64	NA
oak	133	133	133	2001	52.56442069	-2.160757317	-0.065060081	5 7	59 77	NA
oak	114	114	114	2001	50.98735272	-0.274596106	-1.642128055	2 10	24 104	NA
oak	132	132	132	2001	51.4575066	-2.663850033	-1.171974171	3 7	34 70	NA
oak	128	128	128	2001	52.66346237	1.294770564	0.0339816	6 12	62 124	NA
oak	128	128	128	2001	53.1483033	-2.357305144	0.518822529	7 7	72 75	NA
oak	112	112	112	2001	51.1399066	-3.166612375	-1.489574179	2 6	27 63	NA
oak	123	123	123	2001	51.55849421	0.598124932	-1.070986565	3 11	37 116	NA
oak	130	130	130	2001	51.3028716	1.121717746	-1.326609175	3 12	32 123	NA
oak	128	128	128	2001	53.35491005	-3.110244921	0.725429274	7 6	76 65	NA
oak	117	117	117	2001	51.88197264	0.725685164	-0.747508136	4 11	44 117	NA
oak	122	122	122	2001	51.9504561	-1.906804233	-0.679024677	4 8	45 81	NA
oak	107	107	107	2001	51.54963937	0.242771631	-1.079841408	3 11	37 111	NA
oak	134	134	134	2001	52.82842688	-4.590058053	0.198946101	6 4	65 45	NA
oak	120	120	120	2001	51.30621941	-2.864985394	-1.323261362	3 6	31 67	NA
oak	125	125	125	2001	52.96887542	-2.208414343	0.339394642	6 7	68 77	NA
oak	131	131	131	2001	52.14716718	-2.689742735	-0.482313595	5 7	50 70	NA
oak	108	108	108	2001	51.32401241	-0.236157965	-1.305468362	3 10	31 104	NA
oak	124	124	124	2001	52.40524162	-1.575868328	-0.22423916	5 8	55 85	NA
oak	123	123	123	2001	52.29938905	0.605220007	-0.330091726	5 11	54 115	NA
oak	128	128	128	2001	53.4077957	-4.312174565	0.778314923	7 4	78 49	NA
oak	132	132	132	2001	55.64949337	-3.196516406	3.0200126	12 6	128 64	NA
oak	138	138	138	2001	52.33470382	-0.085686208	-0.294776952	5 10	54 106	NA
oak	140	140	140	2001	53.17256071	-1.637924644	0.543079934	7 8	72 84	NA
oak	128	128	128	2001	52.33156659	-0.206625608	-0.297914186	5 10	54 104	NA
oak	145	145	145	2001	53.83378418	-2.12296451	1.204303404	8 7	87 78	NA
oak	121	121	121	2001	52.00719186	-0.221079317	-0.62228891	4 10	47 104	NA
oak	132	132	132	2001	55.98973254	-4.654763908	3.360251767	13 4	136 46	NA
oak	134	134	134	2001	51.81981588	-0.319878966	-0.809664893	4 10	42 103	NA
oak	123	123	123	2001	52.15096799	-0.471148164	-0.478512783	5 10	50 100	NA
oak	123	123	123	2001	52.57157399	-1.031339511	-0.057906786	5 9	59 93	NA
oak	135	135	135	2001	57.61371486	-4.329513496	4.984234089	17 5	172 52	NA
oak	121	121	121	2001	51.71417048	0.594010682	-0.9153103	4 11	40 115	NA
oak	121	121	121	2001	52.11223545	0.922228531	-0.517245322	5 12	50 120	NA
oak	130	130	130	2001	50.8630676	0.262241112	-1.766413178	2 11	21 111	NA
oak	112	112	112	2001	50.94416279	-2.938498635	-1.685317989	2 6	23 66	NA
oak	120	120	120	2001	51.33082105	-0.096656288	-1.298659729	3 10	32 106	NA
oak	119	119	119	2001	50.51578055	-4.074801202	-2.113700221	1 5	14 50	NA
oak	115	115	115	2001	50.97060139	-1.591209431	-1.658879383	2 8	23 85	NA
oak	122	122	122	2001	52.39820732	0.770471371	-0.231273459	5 11	56 117	NA
oak	123	123	123	2001	53.02616048	-2.727543064	0.396679705	6 7	69 70	NA
oak	138	138	138	2001	53.21913026	-3.207076666	0.589649486	7 6	73 63	NA
oak	121	121	121	2001	52.95225332	-1.240869998	0.322772541	6 9	67 90	NA
oak	105	105	105	2001	50.92854113	-0.134469481	-1.700939649	2 10	23 106	NA
oak	129	129	129	2001	50.71001518	-4.447404217	-1.9194656	1 4	18 45	NA
oak	140	140	140	2001	53.86783398	-0.952179554	1.238353207	8 9	88 93	NA
