year,species,nest_date,hatch_date,fledge_date
2018,Snowy_Owl,18-06-11,18-06-19,NA
2010,Short_eared_Owl,18-06-11,18-07-24,NA
2018,Short_eared_Owl,18-06-06,NA,NA
2011,Common_Raven,probable,NA,NA
2012,Common_Raven,18-06-09,NA,NA
2018,Barn_Swallow,18-07-16,NA,NA
2013,Common_Redpoll,18-06-09,NA,NA
2018,Common_Redpoll,NA,NA,18-07-21
2007,Hoary_Redpoll,NA,18-07-10,NA
2008,Hoary_Redpoll,NA,18-07-04,NA
2009,Hoary_Redpoll,18-06-08,y,NA
2011,Hoary_Redpoll,NA,NA,18-07-20
2013,Hoary_Redpoll,NA,18-07-19,NA
2017,Hoary_Redpoll,NA,18-06-15,NA
2010,Redpoll_sp,NA,NA,18-07-14
2011,Redpoll_sp,18-06-02,18-06-24,NA
2012,Redpoll_sp,18-06-10,NA,NA
2015,Redpoll_sp,18-06-16,NA,18-06-27
2016,Redpoll_sp,18-06-18,18-06-25,NA
2018,Redpoll_sp,NA,NA,18-07-18
2005,Lapland_Longspur,NA,18-06-23,NA
2006,Lapland_Longspur,18-06-09,NA,18-07-02
2007,Lapland_Longspur,NA,18-06-22,NA
2008,Lapland_Longspur,18-06-08,18-06-18,18-07-03
2009,Lapland_Longspur,18-06-02,18-06-17,18-06-26
2010,Lapland_Longspur,18-06-14,18-06-26,18-07-07
2011,Lapland_Longspur,18-05-30,18-06-17,18-06-27
2012,Lapland_Longspur,18-06-03,18-06-14,18-06-27
2013,Lapland_Longspur,18-06-05,18-06-17,18-06-28
2014,Lapland_Longspur,18-06-09,18-06-25,18-07-09
2015,Lapland_Longspur,18-05-31,18-06-09,NA
2016,Lapland_Longspur,NA,18-06-13,18-06-25
2017,Lapland_Longspur,18-06-03,18-06-22,18-07-05
2018,Lapland_Longspur,18-06-13,18-06-24,NA
2005,Snow_Bunting,NA,NA,18-07-03
2006,Snow_Bunting,NA,NA,18-06-29
2009,Snow_Bunting,y,18-06-20,18-06-24
2010,Snow_Bunting,y,y,18-07-10
2011,Snow_Bunting,NA,18-06-20,18-06-26
2012,Snow_Bunting,NA,18-06-21,NA
2013,Snow_Bunting,18-06-15,NA,18-07-05
2014,Snow_Bunting,18-06-15,18-07-02,18-07-12
2015,Snow_Bunting,y,NA,18-06-21
2016,Snow_Bunting,NA,NA,18-06-23
2017,Snow_Bunting,18-06-17,NA,18-06-27
2018,Snow_Bunting,NA,NA,18-06-24
2005,Savannah_Sparrow,NA,NA,18-07-25
2008,Savannah_Sparrow,NA,18-07-07,NA
2010,Savannah_Sparrow,NA,18-06-29,18-07-18
2011,Savannah_Sparrow,NA,NA,18-07-10
2015,Savannah_Sparrow,18-06-09,NA,NA
2016,Savannah_Sparrow,NA,NA,18-07-05
2017,Savannah_Sparrow,NA,NA,18-07-22
2018,Savannah_Sparrow,NA,NA,18-06-25
2013,Caribou,NA,18-07-22,18-07-22
2018,Arctic_Fox,NA,NA,18-07-26
2011,Brown_Lemming,NA,18-06-27,NA
2015,Brown_Lemming,NA,y,NA
