YEAR,SEX,BIRTH_DATE,FAMILY,EARLY_SURVIVAL
110,2,139,270,0
110,1,133,271,1
110,2,133,271,1
110,2,141,272,0
110,1,141,272,1
110,1,144,273,0
110,1,144,273,0
110,2,144,274,0
110,2,144,274,0
110,2,148,275,0
110,1,148,275,0
110,2,149,276,0
110,2,149,276,1
110,NA,125,277,0
110,NA,125,277,0
111,1,119,0,0
111,2,126,0,1
111,1,129,0,0
111,2,129,0,0
111,1,129,0,0
111,1,131,0,0
111,1,131,0,0
111,2,132,0,0
111,2,133,0,0
111,2,135.5,0,0
111,2,137,0,1
111,2,138,0,0
111,1,140,0,1
111,2,122,278,0
111,1,122,278,1
111,1,123,279,0
111,1,123,279,0
111,2,124,280,0
111,1,124,280,1
111,2,130,281,0
111,2,130,281,0
111,1,132,282,0
111,1,132,282,0
111,2,134,283,0
111,1,134,283,1
111,2,132,284,0
111,2,132,284,1
111,2,137,285,0
111,2,137,285,0
111,2,131,286,1
111,2,131,286,1
111,1,133.5,287,0
111,1,133.5,287,1
