book_page,year,site,bander,date,time,nestID,unique_nestID,plot,plotLmt,band,species,chick_egg_number,recap_witn_year,stage_of_capt,ul,ll,ur,lr,gfe,rel_status,dead,culmen,tarsus,wing,weight,cone_wt,final_wt,est_age,lat,long,blood,genetic_blood_capillary_tube,genetic_blood_preservative,stable_isotope,buccal,color,gut,radio_transmitter,comments
1.incidental,2003,barr,breed2003,03-07-16,NA,pesaB,03pesaB,brw1,NA,168180658,pesa,chick1,n,brood,-,r,m,-,NA,band/rel,n,13.8,25.7,NA,NA,NA,15.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,female not captured
1.incidental,2003,barr,breed2003,03-07-16,NA,pesaB,03pesaB,brw1,NA,168180659,pesa,chick2,n,brood,-,r,m,-,NA,band/rel,n,15.4,26.3,NA,NA,NA,17.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,female not captured
NA,2003,barr,breed2003,03-07-19,NA,pesa413,03pesa413,brw2,in,168180660,pesa,chick1,n,nest,-,r,m,-,NA,band/rel,y,9.9,24.5,NA,NA,NA,8.5,0,71.29206,-156.64285,60,NA,NA,NA,NA,NA,NA,NA,chick was not doing well before banding; found dead in nest 24jul03
NA,2003,barr,breed2003,03-07-19,NA,pesa413,03pesa413,brw2,in,168180661,pesa,chick2,n,nest,-,r,m,-,NA,band/rel,n,10.7,23.9,NA,NA,NA,8.5,0,71.29206,-156.64285,60,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-23,NA,pesa329,03pesa329,brw3,out,168180662,pesa,chick1,n,nest,-,r,m,-,NA,band/rel,n,11,23.8,NA,NA,NA,9.5,0,71.26746,-156.52012,80,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-23,NA,pesa329,03pesa329,brw3,out,168180664,pesa,chick2,n,nest,-,r,m,-,NA,band/rel,n,11.1,22.9,NA,NA,NA,9,0,71.26746,-156.52012,80,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-23,NA,pesa329,03pesa329,brw3,out,168180665,pesa,chick3,n,nest,-,r,m,-,NA,band/rel,n,10.4,23.1,NA,NA,NA,9,0,71.26746,-156.52012,70,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-23,NA,dunl207,03dunl207,brw3,in,168180666,dunl,chick1,n,brood,"gf,r",-,-,m,NA,band/rel,n,14.5,23.9,NA,NA,NA,13.5,5,71.26775,-156.5307,35,NA,NA,NA,NA,NA,NA,NA,chicks found at 5 days old still with male near nest (J5) on plot 3
NA,2003,barr,breed2003,03-07-23,NA,dunl207,03dunl207,brw3,in,168180667,dunl,chick2,n,brood,"gf,r",-,-,m,NA,band/rel,n,14,25.3,NA,NA,NA,13.5,5,71.26775,-156.5307,5,NA,NA,NA,NA,NA,NA,NA,chicks found at 5 days old still with male near nest (J5) on plot 3
NA,2003,barr,breed2003,03-06-29,NA,dunl101,03dunl101,brw3,in,168181062,dunl,chick1,n,nest,"gf,r",-,-,m,NA,band/rel,n,10.3,24.7,NA,NA,NA,7.5,0,71.27106,-156.52818,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-06-29,NA,dunl101,03dunl101,brw3,in,168181063,dunl,chick2,n,nest,"gf,r",-,-,m,NA,band/rel,n,11.5,22.9,NA,NA,NA,7.5,0,71.27106,-156.52818,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-06-30,NA,dunl009,03dunl009,brw3,out,168181065,dunl,chick1,n,nest,"gf,r",-,-,m,NA,band/rel,n,10.7,25,NA,NA,NA,8,0,71.26648,-156.52864,40,NA,NA,NA,NA,NA,NA,NA,NA
