1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,YEAR,DC_DISTANCE TO CENTER,MASS(g),PK_PEAK HEIGHT,HD_HATCHING DATE,HD_HATCHING DATE2,SYN_SYNCHRONY,SYN2_SYNCHRONY2
0,0,0,0,0,0,0,0,1,1,1,0,0,0,2007,871.8726971,10.3,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,832.5028528,8.2,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,832.5028528,10.7,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,832.5028528,11.4,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,832.5028528,10.7,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,832.5028528,10.6,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,832.5028528,10.9,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1778.939572,11.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1778.939572,12,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1778.939572,11.2,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1778.939572,11,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1778.939572,11.8,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1778.939572,11,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1778.939572,11,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2475.173125,11.8,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2475.173125,12,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2475.173125,11.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2475.173125,12.2,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2475.173125,11.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2475.173125,12,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2573.032841,9.8,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2573.032841,10.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2573.032841,10.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2573.032841,10.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2573.032841,10.8,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2573.032841,10.8,0.15877875,0.688172043,0.473580761,-5,25
