,id,year,birth,weight,onset_autumn,onset_spring,reproductive_status,agecl2,agecl3,demo,democrash,democrashlag,crash,crashlag
190,103,2010,156.3609918,0.2,280,139,with young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
191,109,2010,114.1303458,0.142857143,280,139,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
192,111,2010,116.5119667,1,280,139,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
193,112,2010,145.760757,0.0625,280,139,no young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
194,118,2010,145.3747835,0.076923077,280,139,with young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
195,130,2010,112.535687,0.071428571,280,139,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
196,136,2010,125.1797501,0.083333333,280,139,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
197,139,2010,152.0489445,0.090909091,280,139,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
198,141,2010,114.4595723,0.166666667,280,139,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
199,144,2010,114.4595723,0.166666667,280,139,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
200,145,2010,150.4045825,0.071428571,280,139,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
201,146,2010,125.1797501,0.083333333,280,139,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
202,150,2010,123.6579068,0.052631579,280,139,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
203,151,2010,125.8387836,0.076923077,280,139,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
204,152,2010,164.2414353,0.071428571,280,139,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
205,154,2010,112.8750802,0.083333333,280,139,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
206,155,2010,163.735697,0.083333333,280,139,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
207,162,2010,161.2541161,0.058823529,280,139,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
208,168,2010,111.3765663,0.1,280,139,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
209,170,2010,107.8895927,0.2,280,139,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
210,172,2010,123.6579068,0.052631579,280,139,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
211,175,2010,124.904178,0.076923077,280,139,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
212,67,2010,122.9141472,0.1,280,139,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
213,103,2011,123.5088942,1,290,70,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
214,109,2011,113.1502468,0.142857143,290,70,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
215,111,2011,138.3517586,0.083333333,290,70,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
216,118,2011,132.0368652,0.071428571,290,70,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
217,130,2011,113.1502468,0.142857143,290,70,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
218,136,2011,126.8647812,0.142857143,290,70,with young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
219,139,2011,119.7629771,0.2,290,70,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
220,141,2011,122.6347822,0.05,290,70,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
221,144,2011,119.3841786,0.166666667,290,70,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
222,145,2011,131.1155762,0.071428571,290,70,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
223,146,2011,120.3689742,0.166666667,290,70,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
224,150,2011,128.4333418,0.125,290,70,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
225,151,2011,120.3689742,0.166666667,290,70,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
